Accession,Unigene,Gene,Ratio,ttest
AW202621,553527,LOC553527,1.374853,1.31E-04
XM_697360,554463,LOC554463,0.765576,3.30E-04
-,554757,LOC554757,0.944092,9.70E-04
BI889463,554934,LOC554934,0.95164,7.59E-04
XM_677643,555190,LOC555190,0.682219,2.53E-05
AW202661,555224,LOC555224,0.77308,1.32E-04
BM026303,555381,LOC555381,0.600062,1.44E-02
XM_678004,555480,LOC555480,1.028753,1.33E-04
XM_678134,555583,LOC555583,1.221767,2.34E-04
XM_677591,555742,LOC555742,0.854495,1.61E-03
AW019802,555902,LOC555902,0.842525,2.05E-03
XM_678667,555976,LOC555976,1.52492,2.67E-07
XM_678690,556000,LOC556000,1.868374,6.68E-07
XM_678765,556057,LOC556057,1.467943,5.40E-05
XR_029509,556060,LOC556060,1.306747,1.07E-04
XM_697985,556106,LOC556106,1.395962,1.23E-06
XM_678169,556271,LOC556271,0.607045,3.04E-03
BM082389,556340,LOC556340,0.800081,4.21E-04
XM_701916,556563,LOC556563,1.180611,5.37E-04
XM_677901,556764,LOC556764,0.7939,4.25E-02
-,556806,LOC556806,1.037528,2.57E-05
BM034975,556832,LOC556832,4.984322,3.04E-08
XM_679795,556873,LOC556873,2.431354,1.59E-09
XM_679807,556885,LOC556885,0.69295,6.68E-06
XM_679943,556989,LOC556989,1.859749,1.56E-06
XM_679962,557006,LOC557006,1.005688,3.98E-06
XM_678631,557028,LOC557028,1.597153,2.61E-08
BM036355,557064,LOC557064,0.615976,3.33E-02
XM_680236,557223,LOC557223,0.771239,2.95E-06
XM_680430,557376,LOC557376,0.652251,8.38E-04
XR_028968,557412,LOC557412,0.809244,8.47E-04
XM_680487,557419,LOC557419,2.292178,6.05E-07
BG729673,557538,LOC557538,0.963044,5.72E-04
XM_680665,557579,LOC557579,0.79209,5.86E-04
XM_680799,557691,LOC557691,2.158159,5.56E-05
XR_029211,557719,LOC557719,0.718603,4.26E-03
XM_681158,557995,LOC557995,0.943767,5.12E-07
XM_681519,558319,LOC558319,1.847281,5.25E-08
BM095746,558402,LOC558402,0.797481,6.15E-05
XM_681683,558466,LOC558466,1.196443,1.36E-06
BG303237,558498,LOC558498,5.147088,4.96E-09
XM_699842,558511,LOC558511,6.125215,2.10E-09
XM_681743,558513,LOC558513,3.566512,9.50E-10
BI563295,558599,LOC558599,0.949619,1.44E-05
XR_029962,558626,LOC558626,0.645697,8.09E-05
XM_682232,558941,LOC558941,0.812014,7.47E-03
XM_682241,558948,LOC558948,1.293649,4.05E-06
XM_682257,558963,LOC558963,4.32789,1.08E-08
XM_703207,558987,LOC558987,1.415957,7.46E-07
XM_682313,559018,LOC559018,2.692775,6.09E-12
XM_682373,559066,LOC559066,1.101162,9.88E-06
XM_682415,559108,LOC559108,0.974323,3.66E-05
XM_682167,559157,LOC559157,1.477967,2.21E-06
BI866580,559239,LOC559239,0.750619,6.73E-04
XM_678637,559330,LOC559330,0.999486,5.54E-04
XM_682715,559381,LOC559381,1.797362,7.93E-07
XM_682834,559490,LOC559490,1.995084,1.64E-06
XM_682904,559550,LOC559550,5.597571,4.06E-12
XR_029032,559561,LOC559561,0.672069,3.31E-05
XM_682968,559610,LOC559610,0.996455,2.21E-04
BI867960,559742,LOC559742,1.079592,3.23E-08
XM_683230,559843,LOC559843,2.319154,2.04E-11
BI889579,559956,LOC559956,1.063039,4.94E-06
BG799846,559958,LOC559958,1.464408,5.42E-03
XM_683431,560041,LOC560041,3.994844,1.49E-14
XM_683453,560062,LOC560062,0.995331,4.33E-06
XR_029411,560070,LOC560070,1.101303,8.20E-04
XM_683529,560139,LOC560139,1.411152,2.97E-05
XR_029757,560176,LOC560176,0.775864,2.39E-05
XM_683597,560206,LOC560206,0.659521,8.50E-05
XM_681206,560242,LOC560242,1.214866,5.72E-05
XM_683656,560260,LOC560260,0.816661,4.33E-05
XM_683774,560369,LOC560369,1.170735,4.84E-06
AI943071,560497,LOC560497,0.89333,1.59E-03
XM_684112,560714,LOC560714,1.403632,3.17E-04
BG305684,560742,LOC560742,0.644047,4.55E-03
XM_684258,560859,LOC560859,0.691005,4.13E-05
BI888091,560900,LOC560900,1.12723,2.57E-07
BM102028,560944,LOC560944,1.700467,5.88E-06
XM_684617,561211,LOC561211,0.592392,4.56E-02
XM_700849,561388,LOC561388,2.25685,8.25E-10
XM_684913,561509,LOC561509,2.807966,9.85E-11
XM_700969,561960,LOC561960,0.598004,9.44E-04
BI882906,562146,LOC562146,1.277954,2.06E-05
XM_685741,562349,LOC562349,0.7236,1.28E-04
XM_686004,562624,LOC562624,0.657915,1.09E-04
BI866943,562648,LOC562648,3.424472,6.67E-09
XM_686198,562825,LOC562825,0.788678,6.87E-06
AW128819,562892,LOC562892,2.497872,5.70E-08
XM_686300,562935,LOC562935,1.071369,2.23E-05
XM_686305,562939,LOC562939,0.642379,8.40E-05
BI427867,562946,LOC562946,0.996094,2.07E-04
AW076593,562968,LOC562968,5.168157,5.97E-09
XM_686346,562976,LOC562976,3.272142,2.23E-11
AW421050,563054,LOC563054,3.247628,1.77E-10
XM_679651,563121,LOC563121,0.870634,1.21E-02
-,563175,LOC563175,1.286004,8.35E-07
XM_686644,563280,LOC563280,1.186663,8.10E-08
XM_686804,563443,LOC563443,3.510389,1.70E-08
BI673438,563499,LOC563499,2.202295,2.45E-05
AW115860,563514,LOC563514,0.648816,1.40E-03
XR_029053,563643,LOC563643,1.179262,4.13E-07
XR_029497,563682,LOC563682,1.246234,2.28E-04
XM_687109,563749,LOC563749,0.981284,4.27E-06
AI667515,563927,LOC563927,1.035099,3.47E-05
XM_687339,563976,LOC563976,2.457198,9.36E-09
XM_701183,563997,LOC563997,1.219842,2.97E-03
XM_687476,564120,LOC564120,1.350607,8.04E-08
BF158071,564155,LOC564155,1.535992,1.91E-04
BE016427,564158,LOC564158,2.198005,2.56E-03
AW826254,564185,LOC564185,0.769338,1.68E-03
XM_687597,564253,LOC564253,2.047516,7.99E-05
XM_687632,564283,LOC564283,0.775633,6.82E-03
XM_687684,564344,LOC564344,0.846813,3.75E-03
BI888602,564435,LOC564435,0.60751,3.23E-03
BI884342,564437,LOC564437,1.224108,4.98E-05
XM_688146,564816,LOC564816,1.169889,1.62E-08
BI879791,564852,LOC564852,1.714603,1.39E-05
-,564895,LOC564895,0.80852,5.40E-03
XM_688420,565122,LOC565122,0.831335,6.57E-05
AW116451,565172,LOC565172,0.926844,2.20E-03
XM_688558,565278,LOC565278,0.89958,1.54E-04
XM_688586,565309,LOC565309,3.240925,3.80E-10
-,565377,LOC565377,2.116734,7.49E-10
BM185868,565546,LOC565546,0.80334,7.88E-06
BE557704,565594,LOC565594,1.240182,4.55E-06
XM_704218,565636,LOC565636,0.94784,4.57E-04
XM_703863,565706,LOC565706,1.650975,4.24E-05
XM_689101,565839,LOC565839,0.804938,3.76E-03
AW076635,565925,LOC565925,1.485317,1.22E-05
XM_689285,566020,LOC566020,1.5041,1.03E-04
XM_689375,566107,LOC566107,1.731461,1.19E-06
BI867128,566265,LOC566265,1.513373,2.17E-07
XM_689666,566399,LOC566399,0.7463,2.30E-04
-,566435,LOC566435,0.658838,8.91E-04
AI641555,566616,LOC566616,0.668263,5.20E-04
AW058811,566639,LOC566639,6.671032,2.23E-09
BG884612,567180,LOC567180,4.481842,3.27E-10
XM_687282,567192,LOC567192,0.920615,3.99E-04
XM_690551,567259,LOC567259,0.875586,1.94E-04
XR_029317,567310,LOC567310,1.007688,1.75E-03
XM_690644,567351,LOC567351,0.736049,5.47E-05
XM_690845,567549,LOC567549,3.266403,1.95E-11
AI477494,567570,LOC567570,0.92073,3.43E-04
XR_029735,567576,LOC567576,0.949965,3.14E-03
XM_001337224,567617,LOC567617,1.389616,4.50E-06
BI983463,567650,LOC567650,1.385175,8.19E-08
BI878893,567653,LOC567653,1.042987,3.00E-04
XM_704554,567671,LOC567671,6.406768,4.90E-10
XM_690975,567678,LOC567678,0.643741,2.71E-04
AI957504,567687,LOC567687,1.165106,8.53E-03
XM_691042,567742,LOC567742,1.053377,1.69E-06
-,567909,LOC567909,1.298273,1.62E-06
XM_691326,568014,LOC568014,1.001139,8.85E-04
XM_691331,568019,LOC568019,3.912935,2.02E-08
XM_691395,568087,LOC568087,0.65299,5.57E-05
XM_691549,568230,LOC568230,0.813922,3.19E-05
XM_691567,568246,LOC568246,1.056536,1.07E-05
XM_692072,568724,LOC568724,1.788568,4.90E-06
NM_001037240,568735,LOC568735,0.965391,5.23E-04
AA566708,568900,LOC568900,1.241611,5.77E-05
BG799896,568980,LOC568980,0.666571,1.66E-04
XM_692356,568995,LOC568995,5.65607,2.33E-13
AW171260,569045,LOC569045,0.814666,7.44E-06
BG302585,569148,LOC569148,1.410987,1.20E-05
XM_692711,569330,LOC569330,0.880366,5.09E-05
XM_692767,569386,LOC569386,0.778311,3.05E-03
AW077455,569583,LOC569583,4.321417,1.29E-09
XM_692992,569595,LOC569595,0.894447,1.71E-03
XM_701410,569609,LOC569609,3.417723,6.50E-09
XM_693178,569770,LOC569770,0.980257,4.88E-05
XM_693277,569866,LOC569866,4.745282,1.20E-11
XM_701433,569894,LOC569894,3.583164,8.40E-11
XM_693317,569901,LOC569901,0.835991,1.45E-04
XM_693396,569976,LOC569976,0.861536,7.07E-03
XM_693440,570012,LOC570012,1.013077,8.87E-04
-,570023,LOC570023,0.612294,4.59E-02
XM_693797,570326,LOC570326,1.347465,1.85E-06
XM_001332744,570474,LOC570474,1.90476,9.85E-08
XR_029773,570545,LOC570545,0.618027,2.63E-03
AW076588,570872,LOC570872,0.950024,1.08E-06
XM_694398,570873,LOC570873,0.89944,8.20E-04
XM_694448,570917,LOC570917,0.679251,2.46E-03
BI882843,571279,LOC571279,0.943773,1.92E-03
AW280724,571357,LOC571357,0.58912,6.46E-03
XM_695177,571574,LOC571574,0.778276,5.69E-05
BI876321,571692,LOC571692,0.919833,3.07E-05
XM_695417,571790,LOC571790,1.027455,1.04E-05
XM_695429,571801,LOC571801,1.934053,4.70E-07
XM_695467,571837,LOC571837,1.235702,2.94E-06
XM_695477,571846,LOC571846,1.02058,8.27E-07
XR_030068,571880,LOC571880,0.802066,1.07E-05
-,571928,LOC571928,1.609355,2.13E-03
XM_695607,571960,LOC571960,0.665714,8.90E-03
BI885336,571986,LOC571986,0.669108,1.82E-03
XM_695671,572016,LOC572016,1.702332,6.18E-08
XM_695737,572072,LOC572072,1.041925,1.63E-04
XM_695847,572163,LOC572163,1.217473,1.12E-07
XM_701517,572246,LOC572246,2.686284,5.59E-10
XM_696022,572315,LOC572315,0.870048,9.01E-06
AW128832,572370,LOC572370,0.751506,6.58E-03
XM_684843,573094,LOC573094,1.24666,3.63E-06
XM_686016,573213,LOC573213,1.415973,1.24E-05
XM_001331733,791706,LOC791706,0.806839,1.36E-05
AF423762,791814,LOC791814,1.794695,7.63E-07
XM_001331278,791930,LOC791930,6.726049,8.38E-11
BI884399,792261,LOC792261,0.684293,9.02E-03
XM_001331983,792497,LOC792497,0.701826,1.57E-04
AI965047,792537,LOC792537,0.995568,2.81E-04
XM_001332176,792645,LOC792645,5.811889,5.36E-07
XM_001332289,792743,LOC792743,2.807691,1.95E-07
XM_001332118,792823,LOC792823,0.599346,2.46E-03
XM_001331767,792892,LOC792892,1.024866,5.33E-07
AA495081,792908,LOC792908,1.015482,1.49E-02
XM_001332716,793081,LOC793081,1.07437,3.02E-02
XM_001332720,793085,LOC793085,0.860999,1.04E-03
XM_001332039,793096,LOC793096,0.600967,5.79E-04
XM_001332803,793151,LOC793151,1.051288,1.69E-03
AI497271,793231,LOC793231,0.822468,7.42E-05
BI705584,793316,LOC793316,0.809726,8.15E-03
-,793335,LOC793335,0.682553,4.99E-04
XM_001333121,793408,LOC793408,1.234082,2.43E-05
BI888593,793422,LOC793422,0.587192,5.40E-04
XM_001333270,793522,LOC793522,2.276896,9.86E-08
BI846913,793689,LOC793689,1.052235,6.87E-05
XM_001333551,793756,LOC793756,1.403049,4.65E-04
AI601795,793872,LOC793872,2.070785,2.21E-06
AI959507,793904,LOC793904,0.614524,8.92E-03
BE605911,793943,LOC793943,1.102916,4.35E-05
XM_001332212,794007,LOC794007,3.84903,1.55E-09
XM_001333160,794095,LOC794095,1.787921,1.10E-09
XM_001334079,794202,LOC794202,2.35025,8.24E-08
XM_001334342,794407,LOC794407,1.115086,1.32E-05
XM_001334621,794651,LOC794651,1.039624,1.34E-04
BI563294,794653,LOC794653,0.646454,4.42E-05
XM_001335054,795015,LOC795015,0.730419,5.24E-06
XM_001335198,795119,LOC795119,0.926108,1.33E-03
XM_001335369,795266,LOC795266,0.847318,1.18E-04
XM_001335483,795358,LOC795358,1.018811,8.48E-04
XM_001335492,795367,LOC795367,2.294383,1.17E-05
XM_001333336,795458,LOC795458,1.130232,1.63E-07
XM_001335709,795535,LOC795535,1.294357,2.43E-03
AI722508,795596,LOC795596,0.805947,2.69E-04
XM_001336039,795804,LOC795804,0.971422,1.41E-04
BM025904,795815,LOC795815,0.732739,1.71E-02
AI396666,796094,LOC796094,0.725515,4.24E-06
-,796109,LOC796109,0.597513,1.37E-02
BE016515,796127,LOC796127,1.494178,8.42E-07
-,796136,LOC796136,0.650889,1.95E-02
XM_001334043,796454,LOC796454,1.168391,2.21E-03
XM_001336785,796478,LOC796478,1.016234,3.26E-03
XM_001336856,796535,LOC796535,1.755884,1.90E-09
XM_001336862,796543,LOC796543,1.162948,2.52E-07
XM_001336866,796547,LOC796547,0.752708,5.20E-03
XM_001334294,796588,LOC796588,0.758496,6.94E-03
XM_001337023,796684,LOC796684,6.136566,6.24E-09
BI980613,796780,LOC796780,0.790344,8.66E-04
-,796781,LOC796781,1.152977,8.20E-04
XM_001337179,796815,LOC796815,1.494944,7.24E-05
XM_001337496,797079,LOC797079,0.837108,5.10E-04
XM_001337584,797162,LOC797162,1.446666,5.22E-06
XM_001334302,797195,LOC797195,4.95055,7.95E-09
XM_001337682,797263,LOC797263,4.591908,1.18E-09
XM_001334299,797337,LOC797337,1.034622,2.25E-05
AW281994,797370,LOC797370,0.892158,2.46E-05
XM_001337836,797409,LOC797409,0.593804,1.09E-03
XM_001337900,797478,LOC797478,0.772263,1.04E-06
XM_001337980,797547,LOC797547,0.847266,3.62E-04
XM_001337982,797549,LOC797549,1.324692,4.48E-06
BI473147,797593,LOC797593,0.586284,4.27E-02
BM025973,797827,LOC797827,0.590312,2.49E-02
BI889227,798089,LOC798089,0.983624,2.67E-04
XM_001338617,798196,LOC798196,0.779757,1.14E-03
AW018688,798292,LOC798292,2.40743,2.76E-05
XM_001334399,798425,LOC798425,0.761514,1.17E-02
XM_001338891,798487,LOC798487,2.325407,4.46E-05
XM_001338896,798492,LOC798492,4.60652,6.77E-10
XM_001339055,798653,LOC798653,3.296532,3.14E-11
XM_001339130,798734,LOC798734,0.704347,5.51E-04
BI867225,798846,LOC798846,0.939231,2.46E-06
XM_001339412,799049,LOC799049,0.910372,3.51E-04
AW076786,799067,LOC799067,2.76576,4.54E-11
XM_001337461,799140,LOC799140,5.409359,1.35E-11
XM_001339598,799258,LOC799258,0.722802,1.28E-04
XM_001335515,799290,LOC799290,2.047631,1.02E-07
AI545466,799518,LOC799518,1.38036,3.94E-07
AW019258,799527,LOC799527,1.107983,1.54E-05
XR_029210,799700,LOC799700,2.676624,1.04E-11
AW232020,799758,LOC799758,1.424661,9.87E-05
-,799856,LOC799856,0.793354,5.10E-03
L38673,799883,LOC799883,1.421419,4.76E-05
U57656,30354,lpl,2.374818,3.33E-07
NM_201198,573024,lpp,1.849825,3.74E-04
AW077459,569216,lrp11,0.631835,4.57E-03
NM_001142592,557195,lrpprc,0.788247,8.94E-05
CU468781,565021,lrrc4.1,0.62958,2.32E-03
BC092851,407677,lrrfip1a,0.757747,8.48E-05
NM_199479,335838,lrrfip2,1.139049,8.50E-05
NM_001002077,415167,lsm6,0.873476,5.09E-05
NM_001025472,553218,lsrl,4.939217,3.01E-12
AI353467,562912,ltbp3,0.81115,2.51E-04
NM_001020723,553752,lypd6b,0.603465,2.18E-06
BC124616,558777,macc1,5.055697,2.04E-11
AI883928,562190,macf1,1.098137,7.45E-05
AW115655,474349,magi1,2.238894,1.91E-05
NM_152976,259196,malt1,2.004464,1.03E-07
NM_001004566,447827,manea,0.630735,2.40E-03
NM_212827,404730,mao,0.865939,7.21E-04
NM_214739,406466,map1lc3a,0.941359,4.13E-05
NM_001037391,563181,map2k2,1.086049,1.33E-07
NM_131724,65239,map2k6,0.759547,1.47E-04
NM_001020750,553788,map3k7,0.616839,7.84E-07
NM_001004515,678610,map4k2l,1.826881,5.92E-05
NM_199913,334565,map4k5,0.834275,9.05E-04
NM_182888,360144,mapk1,0.809092,1.31E-04
Y15075,30681,mapk12,2.788118,2.55E-08
NM_178223,266756,mapk14b,1.407013,2.66E-06
AB030902,399480,mapk3,1.29599,5.22E-05
NM_001045552,565830,mapk6,0.794713,7.98E-05
AB030900,65236,mapk8,0.706638,6.04E-04
NM_001080079,790934,mapkapk3,0.613577,1.02E-02
NM_213640,334728,mapre1,1.699742,3.47E-07
NM_001015060,323201,marcks,1.056056,3.39E-04
NM_199885,334300,mark3,1.34404,8.36E-05
NM_212637,323329,mat2a,2.264978,5.10E-11
NM_001080584,562867,mavs,1.213337,6.89E-07
NM_200586,393558,mb,0.681332,1.32E-03
NM_001161670,560384,mbnl2,1.126988,4.31E-05
NM_200537,393509,mboat7,1.323297,6.34E-06
NM_001045043,564111,mcat,0.613326,1.15E-04
AF302805,58122,mcl1a,0.7695,6.24E-06
NM_194394,373102,mcl1b,2.157591,9.55E-08
NM_199969,335715,mdh1b,1.296384,1.42E-05
AI722550,406346,med15,1.254929,1.67E-04
NM_199741,326098,med7,0.880818,1.91E-04
NM_131301,30564,mef2a,0.746696,1.52E-04
U66569,30575,mef2ca,0.663047,2.22E-02
NM_131317,30580,mef2d,1.034061,9.95E-06
NM_001128529,561384,mepce,0.686602,8.36E-06
NM_001007124,492292,met,0.637416,2.10E-02
NM_001003570,445176,mfsd2ab,1.381405,6.23E-08
AW165058,569620,mga,0.677937,3.04E-02
NM_001002180,431727,mgat4b,0.685931,7.05E-04
:AI722710,324487,mgea5,0.735027,2.15E-04
NM_200297,378960,mgll,1.984704,2.61E-07
NM_205640,402937,mgp,1.341164,1.68E-04
AF182157,64813,mhc1uca,1.166816,1.10E-06
AF182160,393557,mhc1uxa2,0.734708,4.38E-05
NM_194425,378479,mhc1ze,2.119307,3.01E-05
U08870,30762,mhc2dab,0.958262,8.46E-07
AI331137,336784,mia2,3.054616,1.20E-09
BC059615,402881,mical3,1.597844,1.75E-07
NM_201585,327198,micall2,0.765544,5.44E-04
NM_131335,30600,mid1ip1a,1.989818,6.65E-06
NM_200832,393805,mid1ip1b,0.923058,4.84E-06
NM_201333,393208,mios,0.899396,1.23E-05
NM_131847,114833,mitfb,0.628962,5.11E-03
NM_001114739,555974,mknk1,2.065041,1.43E-08
NM_194402,373121,mknk2b,1.326461,2.41E-04
DQ840153,560793,mll3a,2.651375,1.77E-08
DQ840155,566825,mll4b,0.930742,2.50E-04
NM_001017819,550517,mllt3,1.542518,5.30E-05
NM_001105112,564760,mmaa,0.725461,2.25E-03
NM_194414,566945,mmp14b,1.046636,1.15E-06
NM_001040291,678531,mmp30,3.560378,4.47E-10
NM_213123,406397,mmp9,1.474642,1.49E-10
NM_199716,325366,mobkl2a,0.651882,1.41E-03
NM_001089366,553447,morc3a,0.878062,1.61E-06
AB032727,795517,mos,0.95794,4.46E-04
BI885870,387022,mp:zf637-1-000125,0.609161,4.57E-04
AW184143,335407,mpeg1,1.176776,7.58E-05
NM_214692,325542,mpp1,0.659314,7.21E-03
BC059616,402878,mpp6a,0.759898,1.94E-03
NM_130976,30166,mpp7,2.76229,1.48E-09
NM_212763,336830,mpzl2,4.889422,1.67E-10
NM_001017696,550391,mrpl12,0.597786,1.84E-03
NM_001024399,554098,mrpl28,0.750928,8.18E-05
NM_199915,334588,mrpl39,0.787632,7.17E-04
NM_001020767,553805,mrpl41,0.638517,5.76E-04
NM_001030260,571210,mrpl44,0.888858,6.36E-05
NM_001100044,572170,mrpl9,0.649022,3.93E-03
NM_182860,260437,msh6,0.901177,1.77E-05
NM_201109,394084,msi2b,1.327748,4.37E-04
NM_199887,334306,msto1,1.195549,4.22E-06
NM_001030269,573620,msxa,2.683004,6.13E-10
U16311,30511,msxb,1.480509,1.93E-07
AC024175,140512,mt-cyb,0.955225,5.46E-05
AC024175,140532,mt-nd2,0.618324,9.26E-05
AC024175,140533,mt-nd3,1.212119,4.94E-05
AC024175,140538,mt-nd4l,1.572206,5.90E-08
AC024175,140536,mt-nd6,1.87579,4.12E-08
NM_001007135,368910,mtdha,0.775727,2.76E-02
NM_152981,195821,mtf1,1.441834,1.59E-05
AI658109,323929,mtmr14,0.747276,1.54E-03
NM_001014330,541517,mtmr1b,0.650517,7.09E-03
U52220,30669,mtnr1ba,2.16618,1.71E-07
U31824,30668,mtnr1bb,1.161904,1.12E-04
NM_001077608,563853,mtus1a,0.836199,4.26E-04
AI641080,494036,murc,1.194341,1.11E-02
NM_201325,373081,mvp,2.780834,6.72E-11
AB034245,100149566,mxtx1,1.205069,1.48E-02
NM_001002042,321277,mybbp1a,1.063109,2.60E-05
NM_001044349,556489,mybpc3,1.929777,4.51E-05
L11710,30686,myca,1.606754,6.16E-10
AI416207,567762,mycl1b,0.93586,1.46E-06
AF184166,58097,myf-5,0.696761,7.08E-05
BC045324,333938,myh9,0.932192,4.71E-06
NM_001098177,337595,myh9l2,4.106982,3.43E-11
NM_001017871,550569,myl10,1.984264,3.61E-05
NM_001080022,565911,mylipb,1.676053,6.28E-07
AI667561,561635,mylk3,2.329987,1.96E-05
AF384863,402814,myo3a,1.439822,2.70E-02
NM_001004111,445473,myo6a,0.840433,4.13E-04
AI882920,560956,myo9b,5.218332,6.68E-13
NM_001015062,548602,myoc,1.36579,6.13E-06
AW115565,558671,myom1a,0.980523,3.07E-05
NM_001077579,570218,mypt2,0.815043,1.92E-06
NM_212742,100003790,myst1,0.847372,8.10E-03
NM_199787,327327,n4bp1,1.310947,4.63E-04
NM_203321,334099,naa15b,0.767801,1.82E-03
NM_199550,321587,naa35,0.873025,1.51E-03
X89204,30656,nadl1.1,0.988339,1.33E-06
NM_200499,573336,nae1,1.397759,4.10E-05
NM_131878,140631,nanos,1.789381,8.67E-07
NM_001007453,492812,nap1l4b,0.588058,7.99E-05
NM_001013480,541353,napgl,1.070878,9.58E-06
NM_001045143,567779,nav3,1.725384,1.35E-05
BC057437,337168,nbr1,0.747287,1.90E-03
NM_200330,556493,ncapd3,0.711334,1.56E-03
AF207707,30078,nccrp1,1.607038,1.04E-05
NM_001003839,767714,ncl,1.259481,2.86E-06
AF323989,81884,ncoa2,0.678651,6.25E-05
BI891682,561503,ncor2,0.924815,1.71E-03
AW154176,333957,ndel1b,0.635953,2.45E-05
NM_199666,324047,ndfip1,0.904687,1.33E-02
NM_130966,30153,ndr1,4.446606,2.23E-12
AF002219,30292,ndr2,0.678658,7.33E-04
NM_213348,792085,ndrg1,4.669234,1.23E-10
NM_200692,393665,ndrg1l,1.118048,1.15E-05
NM_200968,393943,ndufa6,0.653169,1.88E-05
NM_001003747,445291,ndufv1,0.865206,3.09E-05
BI878863,797946,ndufv3,0.916161,2.56E-07
CF347570,566928,neb,1.59104,3.62E-04
NM_001002557,436830,nedd8l,1.059795,3.05E-07
NM_001003617,445223,nek7,0.893665,1.05E-04
AI545016,571299,nenf,1.383284,5.10E-07
NM_001007767,493607,net1,1.604634,1.06E-07
NM_001003644,445250,neu3.2,1.038512,3.39E-06
AF115774,114435,neurod2,1.788575,1.50E-06
NM_001083855,573301,nexn,1.499204,4.47E-05
AW165242,326708,nf1b,0.706808,1.02E-03
NM_199895,334390,nfat5,1.162351,3.94E-06
AB081314,360149,nfe2l2,1.582338,1.23E-06
NM_213231,406512,nfe2l3,0.673735,9.33E-04
BM005061,556665,nfia,1.600951,2.75E-04
NM_213184,406463,nfkbiaa,2.783858,2.79E-09
NM_199629,323099,nfkbiab,0.750697,3.09E-05
BE605454,100001781,nfkbiz,0.724118,5.75E-04
AJ315610,100000711,ngb,1.138137,3.28E-05
NM_212597,100003787,nhp2,0.784681,1.62E-03
AY193826,373088,nid2,0.809813,1.05E-04
NM_213125,406399,nipa2,1.364136,1.41E-04
AJ249796,30231,nipsnap1,3.210183,2.02E-11
AL591497,60645,nitr1c,1.002341,8.12E-05
AL591391,368781,nitr1h,1.70816,8.73E-07
NM_131646,60644,nitr1i,1.412681,1.45E-05
AL591482,170974,nitr2a,1.425195,5.91E-06
NM_198355,171006,nitr3d,1.453388,2.41E-07
BC133977,323005,nktr,1.418559,3.16E-05
NM_131589,58112,nkx2.1a,0.802613,3.78E-02
NM_131423,30698,nkx2.3,0.980284,7.46E-05
XM_001342323,100002610,nlgn1,1.02049,8.76E-07
NM_001013569,541444,nmd3l,1.176542,2.08E-04
NM_001017629,550322,nmnat1,1.64406,6.57E-10
NM_214756,406619,nnt,1.869729,2.20E-08
NM_001003868,445391,nop10,0.728822,1.76E-04
NM_001003831,321133,nop14,0.903093,2.08E-06
AF219519,60658,nos1,0.854966,2.12E-03
NM_131441,30718,notch1a,1.78431,8.14E-12
AY597523,553201,nova2,0.632877,2.22E-03
CB359716,552973,npat,0.861419,1.06E-04
NM_001164027,407726,npepps,0.651531,3.90E-03
NM_199807,327447,nploc4,0.932043,1.33E-04
AW233659,563937,nppcl,1.200628,2.66E-05
AF030245,30713,npy8br,1.63942,3.01E-07
NM_205542,322506,nqo1,3.665205,9.41E-11
NM_205729,494487,nr1d1,2.115848,1.46E-07
U93480,30271,nr1d2b,2.030553,1.95E-11
NM_001123294,569321,nr2c2,0.702639,8.07E-03
U93459,325637,nr2f6a,1.23674,1.42E-03
NM_001020711,553740,nr3c1,0.800058,5.57E-04
NM_001002173,431720,nr4a1,0.926051,3.00E-05
U93470,436679,nr4a2b,1.444484,3.81E-07
AF198086,83916,nr5a1a,0.619124,2.05E-05
AF327373,407626,nr5a5,2.252829,2.67E-07
NM_001044715,557565,nrd1,1.233508,1.25E-05
NM_001044911,796461,nrg1,1.635686,1.86E-06
NM_001017674,550369,nsdhl,1.589997,6.77E-10
NM_199560,321720,nt5c3,0.953014,3.93E-05
NM_200932,393906,nt5e,1.896351,2.61E-05
NM_131064,30270,ntf7,0.646438,2.87E-03
NM_131162,30399,ntla,0.951244,1.58E-03
NM_001045463,751753,nucb1,0.749778,4.19E-03
NM_201479,326050,nucb2b,0.64083,7.13E-03
NM_200919,393893,nudc,0.671324,1.09E-02
NM_001003539,445145,nudcd2,1.505868,8.47E-05
NM_213352,406661,nudt9,0.829242,3.23E-05
NM_001030167,562350,nup107,0.938713,4.95E-06
AW116915,406510,nupl1,0.797257,1.61E-03
BF717555,325928,nupr1,1.089771,9.14E-09
NM_213484,406805,nvl,2.074269,4.10E-08
NM_001080090,790945,oaz2l,1.021988,3.30E-06
NM_001080192,568941,oc90,1.187972,1.24E-04
AW116260,405757,oclna,4.827336,9.34E-11
NM_001008618,494075,oclnb,3.282072,5.01E-09
NM_001077764,777716,ocrl,0.720832,1.85E-06
NM_199958,335524,odf3l,2.353831,8.35E-09
AF041440,30304,oep,1.086538,2.25E-06
NM_200779,564552,ogdh,1.749963,2.99E-08
NM_001017359,337685,ogt,0.815457,7.85E-04
NM_001003486,445092,olfm1b,0.963363,3.75E-03
NM_001007298,492332,opa1,1.577726,2.35E-06
NM_001002709,436982,ophn1,0.879663,1.75E-04
AF104903,30582,opn1sw1,1.79557,1.37E-07
NM_131258,30509,oprd1a,0.809113,1.72E-02
AF285173,360139,oprk1,1.049708,2.58E-05
NM_131707,65088,oprm1,0.794657,5.52E-04
