Accession,Unigene,Gene,Ratio,ttest
NM_131768,569084,cldni,5.936048,5.53E-09
AF359430,81589,cldnj,4.284377,1.85E-10
NM_001003464,445070,cldnk,4.59259,6.31E-10
NM_212897,405833,clic5,1.205695,5.84E-04
NM_199524,84040,clica,2.123758,3.64E-06
NM_001003412,323870,clint1,1.442631,1.11E-04
BC065865,321857,clk4a,1.031893,9.91E-06
AF133306,30140,clock,0.879261,9.12E-03
NM_001002380,436653,clptm1l,0.653002,7.81E-03
NM_001005391,323579,cltca,1.071105,2.26E-04
BC090296,503600,cltcb,1.303979,1.13E-04
NM_213008,406281,cluap1,1.108979,5.76E-04
AW232237,561018,cmas,1.107602,3.28E-04
AF119163,64671,cmlc1,1.506441,5.78E-03
NM_131014,30208,cmn,1.645446,4.39E-05
NM_213109,406383,cmpk,1.063908,4.13E-05
AF191559,30519,cmyb,1.226363,5.75E-03
NM_001033106,406282,cnih,2.459756,1.19E-10
NM_213349,406658,cnn2,0.751568,9.83E-06
NM_001024073,337142,cnn3b,0.801234,6.45E-04
NM_001005582,449540,cnot3a,1.105145,7.22E-07
NM_199840,327627,cnot3b,0.654137,2.54E-03
AB055671,402819,cnpy1,1.953548,3.86E-09
NM_213354,406663,cog2,0.623798,2.65E-04
NM_001144040,553061,cog3,0.610346,4.72E-02
AF220008,58024,coil,0.626061,3.52E-02
BC067716,321298,col14a1,0.867192,4.93E-02
BE200663,568794,col17a1,2.697921,1.42E-07
NM_001039630,564123,col18a1,1.695099,8.13E-03
NM_131292,562496,col2a1a,1.870551,4.16E-04
XM_682719,553355,col4a2,1.392328,2.90E-04
NM_001017914,550627,col4a3bp,2.611088,5.97E-05
NM_213264,406548,col9a1,1.696514,1.79E-05
AI958567,321212,col9a2,2.314487,4.43E-10
NM_001001941,260439,copa,0.940505,2.10E-05
NM_001002013,338138,copb1,0.701027,1.60E-02
NM_201461,280650,copeb,1.575271,2.69E-06
AB040045,57969,copz2,2.139655,3.22E-07
NM_001098746,567716,coq9,0.669195,6.43E-04
NM_201295,317741,coro1ca,1.338583,5.96E-07
NM_199643,323538,coro2a,4.141017,5.32E-10
NM_200012,336381,cotl1,1.23999,6.55E-09
U93461,30775,couptf4,1.780605,9.09E-07
NM_001004652,447914,cox17,1.942028,5.48E-08
AI477029,406679,cox4nb,0.82363,2.37E-04
NM_001024403,554101,cox5aa,0.726279,1.64E-03
BC059554,326962,cox5ab,0.609329,1.13E-02
NM_001005592,335774,cox6a1,0.739075,2.33E-05
NM_200981,393956,cpeb4,2.959268,7.31E-08
U10330,30554,cpla2,0.724404,1.90E-03
NM_001007413,492772,cpped1,0.792354,3.04E-05
BI475933,449677,cpt1b,2.232767,4.47E-07
NM_001007447,100005717,cpt2,1.647686,1.56E-07
NM_001004594,447855,crat,0.785775,4.74E-07
NM_213532,406853,creb3l3l,1.667757,1.93E-06
NM_001079681,569454,crfb1,0.960887,1.71E-04
NM_001083868,797527,crfb4,1.720885,2.52E-06
NM_001079676,556728,crfb8,2.235744,8.70E-05
AF151352,57932,cripto,1.530687,4.18E-06
NM_001017817,550515,crlf3,0.616568,4.61E-03
AY034615,406332,crsp7,0.893621,2.24E-02
NM_152940,81881,crx,3.502945,2.68E-06
NM_205686,402986,cry-dash,2.442294,2.33E-08
AB042248,100003956,cry1a,1.302411,4.15E-06
NM_131790,554836,cry1b,1.888211,2.80E-06
AB042250,573209,cry2a,1.172133,1.94E-03
NM_131792,83780,cry2b,1.757074,1.34E-03
AJ317957,114418,crybb1,0.697738,2.33E-03
NM_001045341,751596,cryl1,2.40346,1.95E-09
NM_199598,322339,cs,1.233165,1.47E-05
NM_001007348,492476,csad,2.089614,7.25E-05
AW174977,192307,csnk1a1,1.021082,9.24E-07
NM_199583,322106,csnk1da,1.091673,1.28E-04
NM_001045850,561724,csnk1g2b,0.658064,8.96E-04
NM_199619,322795,csrnp1b,0.751158,4.28E-05
NM_205567,378726,csrp1,1.166585,6.63E-06
NM_001002699,562636,csrp2bp,0.707189,4.52E-02
NM_001006026,450005,csrp3,1.723428,2.13E-07
NM_001031673,791878,cst3,2.846033,1.52E-08
NM_200114,386806,cstf2,0.669827,3.22E-02
NM_001015041,321449,ctgf,0.993836,2.89E-06
NM_131456,30741,ctnna,0.816931,1.94E-04
AL590147,368485,ctnnd2,1.545517,4.11E-06
NM_001004582,447843,ctrl,1.746598,9.98E-05
AF498292,321453,ctsl1a,0.657123,3.26E-03
Y08321,30443,ctsl1b,0.686314,2.48E-03
NM_212706,327215,cul5,0.855022,8.20E-04
NM_213462,406771,cwc25,0.770573,7.01E-03
NM_001017685,550380,cx35.4,4.111719,2.40E-10
NM_152948,791793,cxadr,0.832351,3.58E-05
AY057095,140747,cxcr4a,2.079128,5.26E-05
BI889254,560908,cxcr7b,1.607617,7.37E-09
AW422303,360150,cxxc1,0.954747,2.01E-02
NM_200599,393571,cxxc1l,1.377301,7.05E-04
NM_213135,406409,cyb5a,1.433242,1.44E-06
NM_212685,324560,cyb5r3,1.380938,3.73E-04
NM_001037393,564379,cyc1,1.211142,2.03E-04
NM_001080204,791124,cyp11b2,2.288345,5.48E-10
NM_212806,399692,cyp17a1,3.632386,1.91E-08
AW342687,140634,cyp1a,3.589438,4.20E-09
NM_131146,30381,cyp26a1,1.532817,1.03E-07
U68234,30381,cyp26a1,0.808096,4.99E-04
AF221128,562304,cyp2k19,1.271434,9.08E-04
AB026158,414933,cyp2v1,2.199559,5.59E-06
NM_001037438,553969,cyp3a65,1.438487,7.09E-07
AI722355,324340,cyp3c1,1.930257,1.96E-06
NM_001001730,414331,cyp51,2.051647,2.90E-07
NM_131107,30327,cyt1,4.094063,7.62E-08
EH590052,557451,daam1a,0.918259,1.15E-05
NM_152956,192122,dachb,1.053736,1.73E-05
NM_131572,58093,dap1a,0.69094,1.38E-04
BI672372,571144,dars2,0.939477,1.08E-03
NM_001077552,560257,dcaf5,0.839727,2.50E-02
BC153644,334101,dci,0.733969,9.50E-05
NM_001020549,553570,dclre1a,2.787981,5.74E-10
NM_205588,402850,dcps,1.36616,4.47E-04
NM_198375,386644,ddi2,0.75631,1.89E-04
NM_213093,406408,ddost,0.785217,1.06E-02
NM_200434,393406,ddx26b,0.866336,2.15E-03
NM_212612,322206,ddx5,2.017973,1.28E-05
NM_173229,286745,ddx55,1.167306,4.81E-03
NM_213321,406623,decr2,0.940845,6.75E-04
AF506211,286787,def,0.734418,1.51E-03
NM_001163366,402799,degs2,4.554405,6.23E-09
NM_001002697,436970,denr,1.138741,2.87E-04
U47113,30148,desma,1.024512,2.16E-03
NM_001002631,436904,dffa,0.781197,3.85E-02
NM_001002656,436929,dgcr2,0.743335,2.20E-03
NM_214735,406433,dhdhl,0.891889,9.46E-03
AF071236,558147,dhh,1.332446,5.95E-06
NM_001008608,494065,dhodh,0.86378,9.58E-03
NM_213056,406329,dhps,0.74979,3.43E-05
NM_001002205,368670,dhrs1,0.959801,7.56E-04
NM_001006070,450050,dhrs3b,1.197069,1.46E-05
NM_001017758,550454,dhrs7b,1.377216,1.08E-05
NM_001115141,321931,dhx15,0.868216,4.11E-04
XM_691207,100009635,dhx37,1.017139,7.49E-06
NM_212789,352937,dio2,1.519774,1.16E-03
