#Summary of results from all benchmarks
NoAnnotations,Threshold,Method,EnrichmentSetUsed,TissuesTested,GenesSubmitted,TissuesReturned,GenesUsed,AvgFold,AvgQ
100,0.96,any,WBPaper00037950_dopaminergic-neurons_embryo_enriched_WBbt_0006746_466,123,466,62,-4405,3.1127410369172397,0.002164084905604643
100,0.96,any,WBPaper00037950_dopaminergic-neurons_larva_enriched_WBbt_0006746_1230,123,1230,60,-3422,1.9887227822351252,0.001549068871005665
100,0.96,any,WBPaper00037950_excretory-cell_larva_enriched_WBbt_0005812_528,123,528,7,-4358,3.610544526792832,0.0009089437455912098
100,0.96,any,WBPaper00037950_GABAergic-motor-neurons_embryo_enriched_WBbt_0005190_361,123,361,58,-4539,2.637527398323456,0.0075468644015975585
100,0.96,any,WBPaper00037950_GABAergic-motor-neurons_larva_enriched_WBbt_0005190_132,123,132,33,-4877,3.3494808053819956,0.011897009441188353
100,0.96,any,WBPaper00037950_germline-precursors_embryo_enriched_WBbt_0006849_974,123,974,6,-3813,1.9806225147209913,0.008535795089222373
100,0.96,any,WBPaper00037950_hypodermis_embryo_enriched_WBbt_0005733_734,123,734,7,-4134,2.238465836665564,0.00018556061377909673
100,0.96,any,WBPaper00037950_hypodermis_larva_enriched_WBbt_0005733_1250,123,1250,10,-3498,1.8731770577113611,0.018219445436310197
100,0.96,any,WBPaper00037950_intestine_embryo_enriched_WBbt_0005772_886,123,886,5,-3888,1.9670196623092298,0.005769664261675205
100,0.96,any,WBPaper00037950_intestine_larva_enriched_WBbt_0005772_946,123,946,4,-3917,1.9875494759056702,2.2564111881137817e-05
100,0.96,any,WBPaper00037950_pharyngeal-muscle_embryo_enriched_WBbt_0005451_598,123,598,2,-4279,1.7020037077981616,0.022921757550539032
100,0.96,any,WBPaper00037950_PVD-OLL-neurons_larva_enriched_WBbt_0006831_878,123,878,0,-3901,nan,nan
100,0.96,any,WBPaper00040420_ALM_PLM_enriched_WBbt_0005406_198,123,198,15,-4778,3.185321428184936,0.005054940127386211
100,0.96,any,WBPaper00040420_FLP_enriched_WBbt_0006828_288,123,288,28,-4667,3.0338583247940996,0.00544096933946222
100,0.96,any,WBPaper00044760_germline_specific_WBbt_0005784_2510,123,2510,4,-1998,2.524851231484033,0.006777696301624941
100,0.96,any,WBPaper00045521_Spermatogenic_WBbt_0005784_2743,123,2743,15,-1835,1.8554635891937872,0.007284267221167807
100,0.96,avg,WBPaper00013489_Ray_Enriched_WBbt_0006941_25,123,25,1,-5025,8.929411764705883,0.026674236299388907
